epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
1,0.001730,0.010918,2.00e-04,152.7,0.001730
2,0.001734,0.010930,2.00e-04,147.6,0.001730
3,0.001732,0.010905,2.00e-04,146.3,0.001730
4,0.001733,0.010889,2.00e-04,146.9,0.001730
5,0.001725,0.010849,2.00e-04,146.8,0.001730
6,0.001705,0.010800,2.00e-04,146.6,0.001730
7,0.001696,0.010709,2.00e-04,145.9,0.001730
8,0.001727,0.010883,2.00e-04,146.6,0.001730
9,0.001733,0.010922,2.00e-04,147.7,0.001730
10,0.001731,0.010901,2.00e-04,146.3,0.001730
11,0.001730,0.010892,2.00e-04,146.4,0.001730
12,0.001729,0.010877,2.00e-04,147.0,0.001730
13,0.001731,0.010886,2.00e-04,146.9,0.001730
14,0.001734,0.010934,2.00e-04,146.5,0.001730
15,0.001731,0.010913,2.00e-04,146.3,0.001730
16,0.001734,0.010924,2.00e-04,146.7,0.001730
17,0.001733,0.010928,2.00e-04,145.9,0.001730
18,0.001721,0.010858,2.00e-04,146.0,0.001730
19,0.001696,0.010705,2.00e-04,146.5,0.001730
20,0.001732,0.010903,2.00e-04,146.4,0.001730
21,0.001733,0.010922,2.00e-04,146.8,0.001730
