epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
1,0.300503,2.296516,5.00e-05,27.2,0.300503
2,0.182333,1.739891,5.00e-05,21.3,0.182333
3,0.172677,1.570235,5.00e-05,21.3,0.172677
4,0.166903,1.474866,5.00e-05,21.5,0.166903
5,0.162461,1.403510,5.00e-05,21.9,0.162461
6,0.158999,1.359902,5.00e-05,21.4,0.158999
7,0.156584,1.324000,5.00e-05,21.5,0.156584
8,0.154150,1.300592,5.00e-05,21.4,0.154150
9,0.152082,1.280365,5.00e-05,21.4,0.152082
10,0.150343,1.269947,5.00e-05,21.5,0.150343
11,0.149179,1.257241,4.94e-05,21.4,0.149179
12,0.147426,1.243179,4.89e-05,21.4,0.147426
13,0.146498,1.235473,4.83e-05,21.3,0.146498
14,0.144070,1.229642,4.78e-05,21.4,0.144070
15,0.143264,1.221331,4.72e-05,21.6,0.143264
16,0.142410,1.215030,4.67e-05,21.8,0.142410
17,0.141009,1.209599,4.61e-05,21.4,0.141009
18,0.139725,1.205544,4.56e-05,21.4,0.139725
19,0.137937,1.203856,4.50e-05,21.5,0.137937
1,0.232763,2.105129,5.00e-05,42.0,0.232763
2,0.173178,1.614366,5.00e-05,35.8,0.173178
3,0.163598,1.479674,5.00e-05,35.8,0.163598
4,0.157124,1.405271,5.00e-05,35.7,0.157124
5,0.152826,1.356800,5.00e-05,35.7,0.152826
6,0.149374,1.322271,5.00e-05,35.7,0.149374
7,0.146662,1.289352,5.00e-05,35.8,0.146662
8,0.144134,1.273249,5.00e-05,35.7,0.144134
9,0.141795,1.252210,5.00e-05,35.8,0.141795
10,0.138820,1.242925,5.00e-05,35.8,0.138820
11,0.136897,1.223502,4.94e-05,36.1,0.136897
12,0.133896,1.215901,4.89e-05,35.8,0.133896
13,0.132889,1.209090,4.83e-05,35.8,0.132889
14,0.130466,1.193752,4.78e-05,35.7,0.130466
15,0.129693,1.185940,4.72e-05,35.8,0.129693
16,0.127083,1.182688,4.67e-05,35.9,0.127083
17,0.125667,1.176468,4.61e-05,35.8,0.125667
18,0.123067,1.168603,4.56e-05,35.8,0.123067
19,0.120773,1.164659,4.50e-05,35.8,0.120773
20,0.119351,1.164571,4.44e-05,35.9,0.119351
21,0.115745,1.155824,4.39e-05,35.9,0.115745
22,0.112689,1.151334,4.33e-05,35.8,0.112689
23,0.109645,1.148514,4.28e-05,35.8,0.109645
24,0.105482,1.148624,4.22e-05,35.9,0.105482
25,0.101346,1.146705,4.17e-05,35.8,0.101346
26,0.098600,1.134493,4.11e-05,35.8,0.098600
27,0.094882,1.130279,4.06e-05,35.8,0.094882
28,0.090521,1.126327,4.00e-05,35.8,0.090521
29,0.087156,1.122046,3.94e-05,35.8,0.087156
30,0.082975,1.118727,3.89e-05,35.9,0.082975
31,0.079269,1.109563,3.83e-05,35.9,0.079269
32,0.075971,1.106829,3.78e-05,35.8,0.075971
33,0.073068,1.097694,3.72e-05,35.8,0.073068
34,0.070640,1.092291,3.67e-05,35.8,0.070640
35,0.068913,1.087631,3.61e-05,35.9,0.068913
36,0.065774,1.085421,3.56e-05,35.8,0.065774
37,0.064422,1.076638,3.50e-05,35.9,0.064422
38,0.063341,1.072760,3.44e-05,35.8,0.063341
39,0.062169,1.067517,3.39e-05,35.9,0.062169
40,0.074163,1.102989,5.00e-05,43.2,0.074163
41,0.068428,1.073027,5.00e-05,37.3,0.068428
42,0.065944,1.073756,5.00e-05,36.6,0.065944
43,0.065432,1.064029,5.00e-05,36.3,0.065432
44,0.064737,1.058742,5.00e-05,37.6,0.064737
45,0.062866,1.058827,5.00e-05,37.7,0.062866
46,0.063678,1.052353,5.00e-05,37.6,0.062866
47,0.062786,1.052898,5.00e-05,37.6,0.062786
48,0.061061,1.042274,5.00e-05,37.7,0.061061
49,0.062036,1.053065,5.00e-05,37.6,0.061061
50,0.060538,1.037502,4.94e-05,37.6,0.060538
51,0.059380,1.032868,4.89e-05,37.6,0.059380
52,0.059804,1.031963,4.83e-05,37.7,0.059380
53,0.059059,1.027450,4.78e-05,37.6,0.059059
54,0.059278,1.023432,4.72e-05,37.6,0.059059
55,0.058021,1.019511,4.67e-05,37.6,0.058021
56,0.057098,1.015323,4.61e-05,37.6,0.057098
57,0.056827,1.016372,4.56e-05,37.6,0.056827
58,0.057010,1.010597,4.50e-05,37.6,0.056827
59,0.055497,1.003990,4.44e-05,37.6,0.055497
60,0.055510,1.006333,4.39e-05,37.6,0.055497
61,0.055539,1.001737,4.33e-05,37.6,0.055497
62,0.054915,0.999058,4.28e-05,37.6,0.054915
63,0.054493,0.992957,4.22e-05,37.6,0.054493
64,0.053690,0.993033,4.17e-05,37.6,0.053690
65,0.053667,0.990260,4.11e-05,37.6,0.053690
66,0.053389,0.986224,4.06e-05,37.6,0.053389
67,0.052859,0.983540,4.00e-05,37.6,0.052859
68,0.052637,0.983403,3.94e-05,37.6,0.052637
69,0.052657,0.979405,3.89e-05,37.6,0.052637
70,0.052542,0.975140,3.83e-05,37.6,0.052542
71,0.052401,0.972867,3.78e-05,37.6,0.052401
72,0.051226,0.975624,3.72e-05,37.6,0.051226
73,0.050504,0.967102,3.67e-05,37.6,0.050504
74,0.050845,0.967489,3.61e-05,37.6,0.050504
75,0.050803,0.967215,3.56e-05,37.6,0.050504
76,0.050354,0.961264,3.50e-05,37.6,0.050354
77,0.050137,0.960372,3.44e-05,37.6,0.050137
78,0.049880,0.957933,3.39e-05,37.7,0.049880
79,0.049261,0.955519,3.33e-05,37.7,0.049261
80,0.048668,0.953576,3.28e-05,37.6,0.048668
81,0.048831,0.952100,3.22e-05,37.6,0.048668
82,0.048777,0.949341,3.17e-05,37.6,0.048668
83,0.048517,0.950263,3.11e-05,37.6,0.048517
84,0.048154,0.944736,3.06e-05,37.6,0.048154
85,0.047621,0.943921,3.00e-05,37.6,0.047621
86,0.047522,0.940863,2.94e-05,37.7,0.047522
87,0.047437,0.940006,2.89e-05,37.5,0.047437
88,0.047133,0.938568,2.83e-05,37.4,0.047133
89,0.046995,0.938932,2.78e-05,36.6,0.046995
90,0.046659,0.934905,2.72e-05,37.8,0.046659
1,0.280198,2.027382,5.00e-05,41.9,0.280198
2,0.182947,1.541883,5.00e-05,36.1,0.182947
3,0.174907,1.421002,5.00e-05,35.6,0.174907
4,0.168100,1.351136,5.00e-05,35.4,0.168100
5,0.162704,1.299334,5.00e-05,35.7,0.162704
6,0.158315,1.266274,5.00e-05,36.8,0.158315
7,0.154856,1.234810,5.00e-05,36.8,0.154856
8,0.152261,1.211502,5.00e-05,36.8,0.152261
9,0.149822,1.190772,5.00e-05,36.8,0.149822
10,0.147987,1.178630,5.00e-05,36.9,0.147987
11,0.146174,1.162138,4.94e-05,36.8,0.146174
12,0.144393,1.145657,4.89e-05,36.8,0.144393
13,0.143130,1.138571,4.83e-05,36.8,0.143130
14,0.141594,1.125509,4.78e-05,36.8,0.141594
15,0.140267,1.115546,4.72e-05,36.8,0.140267
16,0.139250,1.112273,4.67e-05,36.8,0.139250
17,0.138423,1.103805,4.61e-05,36.8,0.138423
18,0.136988,1.094043,4.56e-05,36.8,0.136988
19,0.135884,1.085114,4.50e-05,36.8,0.135884
20,0.134718,1.080449,4.44e-05,36.8,0.134718
21,0.133493,1.078590,4.39e-05,36.8,0.133493
22,0.132251,1.067584,4.33e-05,36.8,0.132251
23,0.131321,1.068230,4.28e-05,36.8,0.131321
24,0.130536,1.058607,4.22e-05,36.8,0.130536
25,0.128922,1.052817,4.17e-05,36.8,0.128922
26,0.128193,1.056700,4.11e-05,36.8,0.128193
27,0.126196,1.044786,4.06e-05,36.8,0.126196
28,0.124906,1.042464,4.00e-05,36.8,0.124906
29,0.123103,1.039108,3.94e-05,36.8,0.123103
30,0.121187,1.037853,3.89e-05,36.8,0.121187
31,0.119444,1.034900,3.83e-05,36.9,0.119444
32,0.116504,1.034541,3.78e-05,36.8,0.116504
33,0.114866,1.027040,3.72e-05,36.9,0.114866
34,0.111314,1.023787,3.67e-05,36.8,0.111314
35,0.107865,1.019414,3.61e-05,36.9,0.107865
36,0.104240,1.018696,3.56e-05,36.8,0.104240
37,0.100765,1.014642,3.50e-05,36.8,0.100765
38,0.097584,1.012610,3.44e-05,36.8,0.097584
39,0.092903,1.006028,3.39e-05,36.8,0.092903
40,0.088253,1.001847,3.33e-05,36.9,0.088253
41,0.085576,1.002508,3.28e-05,36.8,0.085576
42,0.081018,0.992385,3.22e-05,36.8,0.081018
43,0.076679,0.987152,3.17e-05,36.8,0.076679
44,0.073776,0.983687,3.11e-05,36.8,0.073776
45,0.070851,0.980257,3.06e-05,36.9,0.070851
46,0.069564,0.973667,3.00e-05,36.8,0.069564
47,0.066406,0.968366,2.94e-05,36.8,0.066406
48,0.065728,0.966119,2.89e-05,36.8,0.065728
49,0.063581,0.960560,2.83e-05,36.9,0.063581
50,0.061830,0.955929,2.78e-05,36.8,0.061830
51,0.061689,0.954651,2.72e-05,36.8,0.061689
52,0.060218,0.949622,2.67e-05,36.8,0.060218
53,0.058727,0.944858,2.61e-05,36.8,0.058727
54,0.058711,0.942900,2.56e-05,36.9,0.058727
55,0.058018,0.941973,2.50e-05,36.9,0.058018
56,0.058031,0.936910,2.44e-05,36.9,0.058018
57,0.056235,0.933212,2.39e-05,36.8,0.056235
58,0.055743,0.930444,2.33e-05,36.9,0.055743
59,0.055323,0.928926,2.28e-05,36.9,0.055323
60,0.054524,0.924835,2.22e-05,36.8,0.054524
61,0.054249,0.924842,2.17e-05,36.9,0.054249
62,0.053620,0.919883,2.11e-05,36.8,0.053620
63,0.053513,0.917814,2.06e-05,36.8,0.053513
64,0.052553,0.915188,2.00e-05,36.9,0.052553
65,0.052330,0.913236,1.94e-05,36.8,0.052330
66,0.052039,0.910868,1.89e-05,36.9,0.052039
67,0.051485,0.908592,1.83e-05,36.9,0.051485
68,0.050904,0.906383,1.78e-05,36.8,0.050904
69,0.050785,0.904743,1.72e-05,36.8,0.050785
70,0.050475,0.903252,1.67e-05,36.8,0.050475
71,0.050331,0.901397,1.61e-05,36.8,0.050331
72,0.049724,0.898706,1.56e-05,36.8,0.049724
73,0.049333,0.897176,1.50e-05,36.8,0.049333
74,0.049006,0.895538,1.44e-05,36.8,0.049006
75,0.048561,0.893631,1.39e-05,36.8,0.048561
76,0.048305,0.891975,1.33e-05,36.8,0.048305
77,0.048056,0.890442,1.28e-05,36.9,0.048056
78,0.047593,0.888912,1.22e-05,36.8,0.047593
79,0.047476,0.887140,1.17e-05,36.8,0.047476
80,0.047211,0.886083,1.11e-05,36.7,0.047211
81,0.046828,0.884277,1.06e-05,37.3,0.046828
82,0.046509,0.883053,1.00e-05,36.0,0.046509
83,0.046186,0.881603,9.44e-06,35.7,0.046186
84,0.046092,0.880772,8.89e-06,35.6,0.046092
85,0.045843,0.879263,8.33e-06,36.7,0.045843
86,0.045633,0.878366,7.78e-06,36.9,0.045633
87,0.045351,0.877143,7.22e-06,36.9,0.045351
88,0.045037,0.875903,6.67e-06,36.8,0.045037
89,0.044888,0.874809,6.11e-06,36.8,0.044888
90,0.044662,0.873893,5.56e-06,36.8,0.044662
91,0.044528,0.872932,5.00e-06,36.9,0.044528
92,0.044343,0.872323,4.44e-06,36.8,0.044343
93,0.044197,0.871673,3.89e-06,36.8,0.044197
94,0.044039,0.870702,3.33e-06,36.9,0.044039
95,0.043925,0.870059,2.78e-06,36.9,0.043925
96,0.043820,0.869532,2.22e-06,36.9,0.043820
97,0.043755,0.869118,1.67e-06,36.8,0.043755
98,0.043665,0.868477,1.11e-06,36.0,0.043665
99,0.043605,0.867921,5.56e-07,35.7,0.043605
100,0.043559,0.867780,0.00e+00,35.4,0.043605
1,0.383808,1.987309,5.00e-05,41.8,0.383808
2,0.183649,1.476152,5.00e-05,37.4,0.183649
3,0.174247,1.343046,5.00e-05,37.4,0.174247
4,0.168680,1.279591,5.00e-05,37.4,0.168680
5,0.164327,1.237424,5.00e-05,37.4,0.164327
6,0.159743,1.206200,5.00e-05,37.4,0.159743
7,0.155567,1.180016,5.00e-05,37.4,0.155567
8,0.152005,1.160087,5.00e-05,37.3,0.152005
9,0.149541,1.143366,5.00e-05,37.3,0.149541
10,0.147593,1.130383,5.00e-05,37.3,0.147593
11,0.145799,1.119504,4.94e-05,37.3,0.145799
12,0.143609,1.106141,4.89e-05,37.4,0.143609
13,0.142535,1.095232,4.83e-05,37.4,0.142535
14,0.140663,1.086917,4.78e-05,37.3,0.140663
15,0.139035,1.077407,4.72e-05,37.4,0.139035
16,0.137744,1.070485,4.67e-05,37.3,0.137744
17,0.136391,1.063902,4.61e-05,37.4,0.136391
18,0.135264,1.057638,4.56e-05,37.4,0.135264
19,0.133998,1.051261,4.50e-05,37.3,0.133998
20,0.132743,1.045815,4.44e-05,37.3,0.132743
21,0.131436,1.040405,4.39e-05,37.3,0.131436
22,0.129885,1.035534,4.33e-05,37.3,0.129885
23,0.128573,1.030652,4.28e-05,37.3,0.128573
24,0.127394,1.026920,4.22e-05,37.3,0.127394
25,0.125472,1.022654,4.17e-05,37.3,0.125472
26,0.124475,1.019693,4.11e-05,37.3,0.124475
27,0.121774,1.015373,4.06e-05,37.3,0.121774
28,0.120429,1.012501,4.00e-05,37.3,0.120429
29,0.117869,1.008741,3.94e-05,37.3,0.117869
30,0.114855,1.005538,3.89e-05,37.3,0.114855
31,0.110815,1.002552,3.83e-05,37.3,0.110815
32,0.107804,0.999634,3.78e-05,37.4,0.107804
33,0.103609,0.996724,3.72e-05,37.3,0.103609
34,0.099123,0.992694,3.67e-05,37.4,0.099123
35,0.094046,0.989032,3.61e-05,37.4,0.094046
36,0.088970,0.984969,3.56e-05,37.3,0.088970
37,0.085150,0.980944,3.50e-05,37.3,0.085150
38,0.080482,0.976360,3.44e-05,37.4,0.080482
39,0.076708,0.970841,3.39e-05,37.4,0.076708
40,0.073678,0.966345,3.33e-05,37.3,0.073678
41,0.070399,0.960783,3.28e-05,37.3,0.070399
42,0.067625,0.955590,3.22e-05,37.3,0.067625
43,0.066158,0.951191,3.17e-05,37.3,0.066158
44,0.064242,0.946056,3.11e-05,37.3,0.064242
45,0.063082,0.942600,3.06e-05,37.4,0.063082
46,0.061511,0.937865,3.00e-05,37.4,0.061511
47,0.061018,0.933577,2.94e-05,37.3,0.061018
48,0.059284,0.929726,2.89e-05,37.4,0.059284
49,0.058677,0.926052,2.83e-05,37.3,0.058677
50,0.057795,0.922735,2.78e-05,37.4,0.057795
51,0.056545,0.919387,2.72e-05,37.3,0.056545
52,0.056420,0.916456,2.67e-05,37.4,0.056420
53,0.055939,0.913657,2.61e-05,37.4,0.055939
54,0.054776,0.909821,2.56e-05,37.3,0.054776
55,0.054188,0.907323,2.50e-05,37.4,0.054188
56,0.053423,0.903811,2.44e-05,37.4,0.053423
57,0.053598,0.902209,2.39e-05,37.4,0.053423
58,0.053049,0.899879,2.33e-05,37.4,0.053049
59,0.052617,0.897351,2.28e-05,37.3,0.052617
60,0.051800,0.894468,2.22e-05,37.4,0.051800
61,0.051267,0.892374,2.17e-05,37.3,0.051267
