epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
1,0.219779,1.937162,2.00e-04,174.5,0.219779
2,0.196684,1.730811,2.00e-04,167.6,0.196684
3,0.190658,1.666283,2.00e-04,167.6,0.190658
4,0.187271,1.623355,2.00e-04,167.1,0.187271
5,0.184940,1.596465,2.00e-04,167.1,0.184940
6,0.182003,1.572496,2.00e-04,166.1,0.182003
7,0.179215,1.550974,2.00e-04,166.9,0.179215
8,0.178244,1.544378,2.00e-04,166.8,0.178244
9,0.175320,1.527628,2.00e-04,166.8,0.175320
10,0.172839,1.517678,2.00e-04,166.4,0.172839
11,0.170712,1.512852,2.00e-04,166.4,0.170712
12,0.166194,1.502164,2.00e-04,166.0,0.166194
13,0.163280,1.499624,2.00e-04,167.6,0.163280
14,0.158849,1.490932,2.00e-04,167.0,0.158849
15,0.154064,1.483774,2.00e-04,167.3,0.154064
16,0.148213,1.479303,2.00e-04,166.5,0.148213
17,0.141332,1.471776,2.00e-04,166.4,0.141332
18,0.137122,1.468375,2.00e-04,166.8,0.137122
19,0.128185,1.457635,2.00e-04,166.7,0.128185
20,0.121856,1.451357,2.00e-04,166.6,0.121856
21,0.116075,1.443296,2.00e-04,166.8,0.116075
22,0.110763,1.434362,2.00e-04,167.8,0.110763
23,0.106687,1.430715,2.00e-04,167.4,0.106687
24,0.101239,1.419620,2.00e-04,168.1,0.101239
25,0.098187,1.410306,2.00e-04,168.1,0.098187
26,0.096147,1.404990,2.00e-04,167.3,0.096147
27,0.094755,1.401740,2.00e-04,166.9,0.094755
28,0.091613,1.389974,2.00e-04,166.5,0.091613
29,0.088258,1.379589,2.00e-04,166.1,0.088258
30,0.087931,1.377710,2.00e-04,166.7,0.087931
31,0.088542,1.375126,2.00e-04,167.6,0.087931
32,0.085602,1.365232,2.00e-04,167.4,0.085602
33,0.084462,1.361045,2.00e-04,168.6,0.084462
34,0.082823,1.354482,2.00e-04,166.9,0.082823
35,0.080410,1.343503,2.00e-04,167.1,0.080410
36,0.079478,1.337437,2.00e-04,166.4,0.079478
37,0.079189,1.334982,2.00e-04,167.0,0.079189
38,0.076841,1.326661,2.00e-04,167.6,0.076841
39,0.076320,1.324585,2.00e-04,166.6,0.076320
40,0.074239,1.314973,2.00e-04,167.2,0.074239
41,0.073065,1.307802,2.00e-04,166.7,0.073065
42,0.072415,1.305229,2.00e-04,167.5,0.072415
43,0.073390,1.307493,2.00e-04,167.3,0.072415
44,0.073066,1.302928,2.00e-04,166.4,0.072415
45,0.073713,1.307013,2.00e-04,166.4,0.072415
46,0.072609,1.300008,2.00e-04,166.0,0.072415
47,0.072579,1.299272,2.00e-04,166.4,0.072415
48,0.072215,1.296702,2.00e-04,166.6,0.072215
