epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
1,0.143653,1.031427,2.00e-04,25.8,0.143653
2,0.142284,0.980782,2.00e-04,17.5,0.142284
3,0.142168,0.970771,2.00e-04,17.6,0.142168
4,0.141601,0.969760,2.00e-04,17.5,0.141601
5,0.141084,0.961696,2.00e-04,17.6,0.141084
6,0.141115,0.957421,2.00e-04,17.5,0.141084
7,0.140743,0.953322,2.00e-04,17.6,0.140743
8,0.140988,0.951122,2.00e-04,17.6,0.140743
9,0.169562,0.906981,2.00e-04,17.6,0.140743
10,0.176602,0.879907,2.00e-04,17.6,0.140743
11,0.176683,0.874270,2.00e-04,17.6,0.140743
12,0.176499,0.872760,2.00e-04,17.6,0.140743
13,0.176756,0.872807,2.00e-04,17.6,0.140743
14,0.176552,0.872885,2.00e-04,17.6,0.140743
15,0.176738,0.873135,2.00e-04,17.6,0.140743
16,0.176727,0.873497,2.00e-04,17.5,0.140743
17,0.176631,0.873335,2.00e-04,17.5,0.140743
8,0.140919,0.946936,5.00e-05,23.0,0.140919
9,0.140583,0.945674,5.00e-05,18.1,0.140583
10,0.140555,0.944228,5.00e-05,17.8,0.140583
10,0.140398,0.944448,5.00e-05,22.7,0.140398
11,0.140333,0.942339,5.00e-05,17.7,0.140333
12,0.140140,0.941254,5.00e-05,17.8,0.140140
13,0.140023,0.940494,5.00e-05,17.7,0.140023
14,0.139824,0.942070,5.00e-05,17.7,0.139824
15,0.139730,0.942127,5.00e-05,17.7,0.139730
16,0.140067,0.942299,5.00e-05,18.2,0.139730
17,0.140007,0.941855,5.00e-05,18.4,0.139730
18,0.140089,0.941639,5.00e-05,18.5,0.139730
19,0.140099,0.937097,5.00e-05,18.5,0.139730
20,0.139736,0.938514,4.94e-05,18.4,0.139730
21,0.139833,0.935728,4.89e-05,18.4,0.139730
22,0.140233,0.937206,4.83e-05,18.4,0.139730
23,0.139688,0.940535,4.78e-05,18.4,0.139730
24,0.139989,0.937601,4.72e-05,18.4,0.139730
25,0.139798,0.937480,4.67e-05,18.4,0.139730
26,0.139946,0.940176,4.61e-05,18.5,0.139730
27,0.139766,0.936825,4.56e-05,18.5,0.139730
28,0.139754,0.933766,4.50e-05,18.5,0.139730
29,0.139804,0.933084,4.44e-05,18.5,0.139730
30,0.140059,0.931289,4.39e-05,18.5,0.139730
1,0.142289,0.976553,5.00e-05,42.7,0.142289
2,0.140373,0.936931,5.00e-05,30.1,0.140373
3,0.139995,0.924173,5.00e-05,30.9,0.139995
4,0.139852,0.919410,5.00e-05,30.9,0.139852
5,0.139916,0.915003,5.00e-05,30.9,0.139852
6,0.139660,0.911949,5.00e-05,30.9,0.139660
7,0.139590,0.912726,5.00e-05,29.6,0.139590
8,0.139784,0.907539,5.00e-05,29.6,0.139590
9,0.139617,0.903372,5.00e-05,30.6,0.139590
10,0.139864,0.902175,5.00e-05,30.8,0.139590
11,0.139662,0.898226,4.94e-05,30.6,0.139590
12,0.139369,0.897458,4.89e-05,29.6,0.139369
13,0.139777,0.897589,4.83e-05,29.6,0.139369
14,0.139533,0.892303,4.78e-05,29.6,0.139369
15,0.139670,0.890316,4.72e-05,29.6,0.139369
16,0.139584,0.889166,4.67e-05,29.6,0.139369
17,0.139553,0.889726,4.61e-05,29.6,0.139369
18,0.139562,0.887920,4.56e-05,29.6,0.139369
19,0.139546,0.888210,4.50e-05,29.6,0.139369
20,0.139642,0.885232,4.44e-05,29.6,0.139369
21,0.139812,0.886531,4.39e-05,29.6,0.139369
22,0.139491,0.883105,4.33e-05,29.6,0.139369
23,0.139480,0.887153,4.28e-05,29.7,0.139369
24,0.139453,0.880317,4.22e-05,29.7,0.139369
25,0.139379,0.884027,4.17e-05,29.7,0.139369
26,0.139218,0.883866,4.11e-05,29.6,0.139218
27,0.139310,0.883881,4.06e-05,29.6,0.139218
28,0.139268,0.883345,4.00e-05,29.6,0.139218
29,0.139364,0.880285,3.94e-05,29.6,0.139218
30,0.139451,0.877825,3.89e-05,29.6,0.139218
31,0.139435,0.880865,3.83e-05,29.6,0.139218
32,0.139304,0.884218,3.78e-05,29.6,0.139218
33,0.139283,0.878085,3.72e-05,29.6,0.139218
34,0.139373,0.876775,3.67e-05,29.7,0.139218
35,0.139223,0.876213,3.61e-05,29.7,0.139218
36,0.139263,0.875594,3.56e-05,29.6,0.139218
37,0.139415,0.872739,3.50e-05,30.0,0.139218
38,0.139044,0.875397,3.44e-05,30.3,0.139044
39,0.139287,0.873181,3.39e-05,29.7,0.139044
40,0.139230,0.872666,3.33e-05,29.8,0.139044
41,0.139107,0.871930,3.28e-05,30.4,0.139044
42,0.139124,0.871797,3.22e-05,29.7,0.139044
43,0.139203,0.872553,3.17e-05,29.7,0.139044
44,0.139123,0.871854,3.11e-05,29.7,0.139044
45,0.139080,0.873436,3.06e-05,29.7,0.139044
46,0.139196,0.871299,3.00e-05,29.6,0.139044
47,0.139022,0.869237,2.94e-05,29.7,0.139044
48,0.138907,0.870250,2.89e-05,29.7,0.138907
49,0.138910,0.871201,2.83e-05,29.7,0.138907
50,0.139178,0.870420,2.78e-05,29.7,0.138907
51,0.139043,0.870246,2.72e-05,30.6,0.138907
52,0.139035,0.869602,2.67e-05,30.5,0.138907
53,0.138964,0.869277,2.61e-05,29.8,0.138907
54,0.139006,0.867021,2.56e-05,29.7,0.138907
55,0.138924,0.866629,2.50e-05,29.7,0.138907
56,0.138897,0.868989,2.44e-05,29.7,0.138907
57,0.138930,0.868292,2.39e-05,29.7,0.138907
58,0.139072,0.868517,2.33e-05,29.7,0.138907
59,0.138739,0.869928,2.28e-05,29.7,0.138739
60,0.139095,0.867723,2.22e-05,29.7,0.138739
61,0.138855,0.864433,2.17e-05,29.7,0.138739
62,0.138773,0.867434,2.11e-05,29.7,0.138739
63,0.138824,0.866383,2.06e-05,29.7,0.138739
64,0.138592,0.863795,2.00e-05,29.8,0.138592
65,0.138846,0.863175,1.94e-05,29.7,0.138592
66,0.138914,0.863303,1.89e-05,30.2,0.138592
67,0.138635,0.863681,1.83e-05,30.3,0.138592
68,0.138838,0.864476,1.78e-05,30.0,0.138592
69,0.138632,0.863170,1.72e-05,30.1,0.138592
70,0.138853,0.865703,1.67e-05,29.7,0.138592
71,0.138684,0.863607,1.61e-05,29.8,0.138592
1,0.113639,0.839886,5.00e-05,35.9,0.113639
2,0.113554,0.836868,5.00e-05,30.6,0.113554
3,0.113516,0.835853,5.00e-05,31.0,0.113554
4,0.113353,0.834220,5.00e-05,31.5,0.113353
5,0.113216,0.832674,5.00e-05,30.9,0.113216
6,0.113178,0.830753,5.00e-05,30.9,0.113216
7,0.113106,0.830197,5.00e-05,30.9,0.113106
8,0.113164,0.829795,5.00e-05,31.4,0.113106
9,0.113091,0.829869,5.00e-05,30.7,0.113106
10,0.113069,0.829416,5.00e-05,30.6,0.113106
11,0.113111,0.829141,4.94e-05,30.5,0.113106
12,0.113118,0.828956,4.89e-05,30.4,0.113106
13,0.113088,0.829096,4.83e-05,30.5,0.113106
14,0.113119,0.828670,4.78e-05,30.9,0.113106
15,0.113102,0.828810,4.72e-05,30.5,0.113106
16,0.113090,0.827852,4.67e-05,30.4,0.113106
17,0.113061,0.828338,4.61e-05,30.6,0.113106
18,0.113033,0.828095,4.56e-05,30.6,0.113033
19,0.113079,0.828773,4.50e-05,31.1,0.113033
20,0.113004,0.828072,4.44e-05,31.1,0.113033
21,0.113043,0.828112,4.39e-05,30.9,0.113033
22,0.113061,0.828031,4.33e-05,30.5,0.113033
23,0.113026,0.827847,4.28e-05,30.9,0.113033
24,0.113099,0.828452,4.22e-05,34.0,0.113033
25,0.113074,0.827816,4.17e-05,32.4,0.113033
26,0.113039,0.827912,4.11e-05,34.0,0.113033
27,0.113030,0.827665,4.06e-05,32.5,0.113033
28,0.112997,0.827745,4.00e-05,32.0,0.113033
29,0.112961,0.827601,3.94e-05,30.1,0.112961
30,0.112994,0.827785,3.89e-05,31.1,0.112961
31,0.113042,0.827356,3.83e-05,31.6,0.112961
32,0.113004,0.827648,3.78e-05,30.0,0.112961
33,0.113062,0.827893,3.72e-05,30.0,0.112961
34,0.113031,0.827905,3.67e-05,31.2,0.112961
35,0.112971,0.827377,3.61e-05,31.3,0.112961
36,0.113065,0.828248,3.56e-05,31.3,0.112961
37,0.112978,0.827819,3.50e-05,31.2,0.112961
38,0.113082,0.827584,3.44e-05,31.2,0.112961
39,0.113052,0.827512,3.39e-05,31.2,0.112961
40,0.113033,0.827538,3.33e-05,31.3,0.112961
41,0.113032,0.827804,3.28e-05,31.2,0.112961
42,0.113005,0.827410,3.22e-05,31.2,0.112961
43,0.113062,0.827431,3.17e-05,31.2,0.112961
44,0.112964,0.827478,3.11e-05,31.3,0.112961
1,0.113398,0.840712,5.00e-05,42.0,0.113398
2,0.113097,0.830848,5.00e-05,24.0,0.113097
3,0.113144,0.832854,5.00e-05,24.0,0.113097
4,0.113103,0.831865,5.00e-05,24.0,0.113097
5,0.113025,0.829196,5.00e-05,24.2,0.113025
1,0.113399,0.841499,5.00e-05,29.4,0.113399
2,0.113010,0.828679,5.00e-05,24.7,0.113010
3,0.112989,0.828494,5.00e-05,25.5,0.113010
4,0.112956,0.827825,5.00e-05,25.7,0.112956
5,0.113005,0.826536,5.00e-05,26.3,0.112956
6,0.113052,0.826653,5.00e-05,26.3,0.112956
7,0.113128,0.831546,5.00e-05,26.4,0.112956
8,0.113001,0.827689,5.00e-05,25.7,0.112956
9,0.112965,0.825630,5.00e-05,25.7,0.112956
10,0.113017,0.827710,5.00e-05,25.7,0.112956
